company_cd,rr_cd,company_name,company_name_k,company_name_h,company_name_r,company_url,company_type,e_status,e_sort
102,99,하코다테교통국,,函館市交通局,函館市電,http://www.city.hakodate.hokkaido.jp/transport/,0,0,102
103,99,북해도치호쿠고원철도,,北海道ちほく高原鉄道株式会社,北海道ちほく高原鉄道,,0,2,103
248,99,도난이사리비철도,,道南いさりび鉄道株式会社,道南いさりび,http://www.shr-isaribi.jp,0,0,103
104,99,츠가루철도,,津軽鉄道株式会社,津軽鉄道,http://tsutetsu.com/,0,0,104
105,99,코난철도,,弘南鉄道,弘南鉄道,http://konantetsudo.jp/,0,0,105
106,99,토와다관광전철,,十和田観光電鉄株式会社,十和田観光電鉄,http://www.toutetsu.co.jp/,0,2,106
107,99,IGR이와테은하철도,,IGRいわて銀河鉄道株式会社,IGRいわて銀河鉄道,http://www.igr.jp/,0,0,107
108,99,아오이모리철도,,青い森鉄道株式会社,青い森鉄道,http://aoimorirailway.com/,0,0,108
109,99,산리쿠철도,,三陸鉄道株式会社,三鉄,http://www.sanrikutetsudou.com/,0,0,109
110,99,아키다내륙종관철도,,秋田内陸縦貫鉄道株式会社,秋田内陸縦貫鉄道,http://www.akita-nairiku.com/,0,0,110
111,99,유리고원철도,,由利高原鉄道株式会社,由利高原鉄道,http://www.obako5.com/,0,0,111
112,99,야마가타철도,,山形鉄道株式会社,山形鉄道,http://www.flower-liner.jp/,0,0,112
113,99,쿠리하라전원철도,,くりはら田園鉄道株式会社,栗原電鉄,,0,2,113
114,99,아부쿠마급행,,阿武隈急行株式会社,阿武急,http://www.abukyu.co.jp/,0,0,114
115,99,센다이시교통국,,仙台市交通局,仙台市交通局,http://www.kotsu.city.sendai.jp/,0,0,115
116,99,후쿠시마교통,,福島交通株式会社,福島交通,http://www.fukushima-koutu.co.jp/,0,0,116
117,99,아이즈철도,,会津鉄道株式会社,会津鉄道,http://www.aizutetsudo.jp/,0,0,117
118,99,센다이공항철도,センダイクウコウテツドウ,仙台空港鉄道株式会社,仙台空港鉄道,http://www.senat.co.jp/,0,0,118
119,99,도쿄도교통국,,東京都交通局,東京都交通局,http://www.kotsu.metro.tokyo.jp/,0,0,119
